TICKER1,TICKER2	GEN	FEB	MAR	APR	MAG	GIU	LUG	AGO	SET	OTT	NOV	DIC
CRED,IUSB	[('-0.046', '0.020'), ('0.943', '1.080'), ('0.420', '0.537'), ('0.691', '0.673'), ('1.234', '0.789'), ('0.260', '0.020'), ('0.972', '0.829'), ('0.607', '0.686'), ('-0.071', '-0.215'), ('0.098', '0.255'), ('-0.206', '-0.079'), ('0.188', '0.059')]
CRED,MBB	[('-0.046', '0.038'), ('0.943', '0.603'), ('0.420', '0.481'), ('0.691', '0.347'), ('1.234', '0.685'), ('0.260', '-0.327'), ('0.972', '0.743'), ('0.607', '0.579'), ('-0.071', '-0.214'), ('0.098', '-0.075'), ('-0.206', '-0.178'), ('0.188', '0.169')]
CRED,VCIT	[('-0.046', '0.456'), ('0.943', '1.180'), ('0.420', '0.407'), ('0.691', '0.751'), ('1.234', '1.175'), ('0.260', '-0.057'), ('0.972', '1.136'), ('0.607', '0.545'), ('-0.071', '-0.159'), ('0.098', '0.228'), ('-0.206', '-0.274'), ('0.188', '-0.011')]
CRED,VCSH	[('-0.046', '0.442'), ('0.943', '0.365'), ('0.420', '0.163'), ('0.691', '0.289'), ('1.234', '0.502'), ('0.260', '0.088'), ('0.972', '0.463'), ('0.607', '0.262'), ('-0.071', '-0.012'), ('0.098', '0.063'), ('-0.206', '-0.251'), ('0.188', '-0.277')]
CRED,VGIT	[('-0.046', '0.281'), ('0.943', '0.500'), ('0.420', '0.626'), ('0.691', '0.983'), ('1.234', '0.822'), ('0.260', '-0.293'), ('0.972', '0.590'), ('0.607', '0.756'), ('-0.071', '-0.676'), ('0.098', '-0.124'), ('-0.206', '-0.295'), ('0.188', '-0.312')]
CRED,VMBS	[('-0.046', '0.057'), ('0.943', '0.651'), ('0.420', '0.478'), ('0.691', '0.438'), ('1.234', '0.647'), ('0.260', '-0.246'), ('0.972', '0.629'), ('0.607', '0.607'), ('-0.071', '-0.170'), ('0.098', '-0.076'), ('-0.206', '-0.171'), ('0.188', '-0.114')]
CSA,CSF	[('-0.940', '-1.326'), ('1.144', '1.124'), ('-1.411', '-1.644'), ('3.468', '3.457'), ('-3.056', '-2.892'), ('1.499', '1.122'), ('-0.747', '-0.764'), ('-2.625', '-3.112'), ('6.873', '6.685'), ('0.199', '0.014'), ('4.013', '4.017'), ('0.207', '-0.287')]
CSA,FYX	[('-0.940', '-0.572'), ('1.144', '0.965'), ('-1.411', '-1.645'), ('3.468', '3.249'), ('-3.056', '-3.214'), ('1.499', '1.738'), ('-0.747', '0.214'), ('-2.625', '-2.179'), ('6.873', '5.965'), ('0.199', '-0.435'), ('4.013', '3.777'), ('0.207', '0.592')]
CSF,FYX	[('-1.326', '-0.572'), ('1.124', '0.965'), ('-1.644', '-1.645'), ('3.457', '3.249'), ('-2.892', '-3.214'), ('1.122', '1.738'), ('-0.764', '0.214'), ('-3.112', '-2.179'), ('6.685', '5.965'), ('0.014', '-0.435'), ('4.017', '3.777'), ('-0.287', '0.592')]
CSJ,FTSL	[('0.277', '-0.082'), ('0.286', '0.372'), ('0.181', '-0.575'), ('0.219', '0.021'), ('0.257', '0.227'), ('0.038', '-0.412'), ('0.361', '0.600'), ('0.209', '-0.514'), ('-0.066', '-0.331'), ('0.067', '0.291'), ('-0.219', '-0.476'), ('-0.115', '-0.187')]
CSJ,GNMA	[('0.277', '0.242'), ('0.286', '0.222'), ('0.181', '0.262'), ('0.219', '0.201'), ('0.257', '0.765'), ('0.038', '-0.540'), ('0.361', '0.647'), ('0.209', '0.502'), ('-0.066', '0.181'), ('0.067', '0.020'), ('-0.219', '-0.261'), ('-0.115', '-0.141')]
CSJ,IEI	[('0.277', '0.318'), ('0.286', '0.392'), ('0.181', '0.556'), ('0.219', '0.398'), ('0.257', '0.510'), ('0.038', '-0.299'), ('0.361', '0.568'), ('0.209', '0.589'), ('-0.066', '-0.628'), ('0.067', '-0.130'), ('-0.219', '-0.382'), ('-0.115', '-0.294')]
CSJ,ISTB	[('0.277', '0.320'), ('0.286', '0.300'), ('0.181', '0.160'), ('0.219', '0.319'), ('0.257', '0.399'), ('0.038', '0.040'), ('0.361', '0.379'), ('0.209', '0.278'), ('-0.066', '-0.119'), ('0.067', '0.040'), ('-0.219', '-0.240'), ('-0.115', '-0.040')]
CSJ,IUSB	[('0.277', '0.020'), ('0.286', '1.080'), ('0.181', '0.537'), ('0.219', '0.673'), ('0.257', '0.789'), ('0.038', '0.020'), ('0.361', '0.829'), ('0.209', '0.686'), ('-0.066', '-0.215'), ('0.067', '0.255'), ('-0.219', '-0.079'), ('-0.115', '0.059')]
CSJ,LMBS	[('0.277', '-0.153'), ('0.286', '0.250'), ('0.181', '-0.287'), ('0.219', '-0.019'), ('0.257', '0.019'), ('0.038', '-0.063'), ('0.361', '0.058'), ('0.209', '-0.058'), ('-0.066', '-0.154'), ('0.067', '-0.308'), ('-0.219', '-0.212'), ('-0.115', '-0.290')]
CSJ,MBB	[('0.277', '0.038'), ('0.286', '0.603'), ('0.181', '0.481'), ('0.219', '0.347'), ('0.257', '0.685'), ('0.038', '-0.327'), ('0.361', '0.743'), ('0.209', '0.579'), ('-0.066', '-0.214'), ('0.067', '-0.075'), ('-0.219', '-0.178'), ('-0.115', '0.169')]
CSJ,SHV	[('0.277', '0.027'), ('0.286', '0.036'), ('0.181', '0.054'), ('0.219', '0.018'), ('0.257', '0.045'), ('0.038', '0.073'), ('0.361', '0.109'), ('0.209', '0.082'), ('-0.066', '0.091'), ('0.067', '0.036'), ('-0.219', '0.054'), ('-0.115', '-0.009')]
CSJ,SHY	[('0.277', '0.190'), ('0.286', '0.071'), ('0.181', '0.142'), ('0.219', '0.095'), ('0.257', '0.142'), ('0.038', '-0.059'), ('0.361', '0.261'), ('0.209', '0.166'), ('-0.066', '-0.166'), ('0.067', '-0.166'), ('-0.219', '-0.202'), ('-0.115', '-0.155')]
CSJ,SNLN	[('0.277', '-0.533'), ('0.286', '0.268'), ('0.181', '-0.802'), ('0.219', '-0.108'), ('0.257', '-0.108'), ('0.038', '-0.809'), ('0.361', '0.217'), ('0.209', '-0.758'), ('-0.066', '-0.164'), ('0.067', '0.109'), ('-0.219', '-0.599'), ('-0.115', '-0.274')]
CSJ,VCIT	[('0.277', '0.456'), ('0.286', '1.180'), ('0.181', '0.407'), ('0.219', '0.751'), ('0.257', '1.175'), ('0.038', '-0.057'), ('0.361', '1.136'), ('0.209', '0.545'), ('-0.066', '-0.159'), ('0.067', '0.228'), ('-0.219', '-0.274'), ('-0.115', '-0.011')]
CSJ,VCSH	[('0.277', '0.442'), ('0.286', '0.365'), ('0.181', '0.163'), ('0.219', '0.289'), ('0.257', '0.502'), ('0.038', '0.088'), ('0.361', '0.463'), ('0.209', '0.262'), ('-0.066', '-0.012'), ('0.067', '0.063'), ('-0.219', '-0.251'), ('-0.115', '-0.277')]
CSJ,VGIT	[('0.277', '0.281'), ('0.286', '0.500'), ('0.181', '0.626'), ('0.219', '0.983'), ('0.257', '0.822'), ('0.038', '-0.293'), ('0.361', '0.590'), ('0.209', '0.756'), ('-0.066', '-0.676'), ('0.067', '-0.124'), ('-0.219', '-0.295'), ('-0.115', '-0.312')]
CSJ,VGSH	[('0.277', '0.214'), ('0.286', '0.049'), ('0.181', '0.198'), ('0.219', '0.115'), ('0.257', '0.165'), ('0.038', '-0.016'), ('0.361', '0.214'), ('0.209', '0.165'), ('-0.066', '-0.132'), ('0.067', '-0.099'), ('-0.219', '-0.149'), ('-0.115', '-0.199')]
CSJ,VMBS	[('0.277', '0.057'), ('0.286', '0.651'), ('0.181', '0.478'), ('0.219', '0.438'), ('0.257', '0.647'), ('0.038', '-0.246'), ('0.361', '0.629'), ('0.209', '0.607'), ('-0.066', '-0.170'), ('0.067', '-0.076'), ('-0.219', '-0.171'), ('-0.115', '-0.114')]
DWFI,NMZ	[('1.426', '1.322'), ('1.281', '0.845'), ('0.600', '0.382'), ('1.115', '0.609'), ('0.990', '1.587'), ('0.569', '-0.297'), ('1.257', '1.190'), ('0.008', '0.221'), ('0.039', '-0.220'), ('0.031', '-0.148'), ('0.415', '0.222'), ('-1.053', '-0.512')]
