TICKER	DATA PRIMA QUOTAZIONE	DATA ULTIMA QUOTAZIONE	VARIAZIONE PERCENTUALE	PREZZO MINIMO	PREZZO MASSIMO
AGTC	2014-03-27	2018-08-24	-70.528%	10.000	9.950
AGX	1995-10-13	2018-08-24	440.000%	1.010	9.990
AGYS	1980-03-17	2018-08-24	778.377%	1.481	9.990
AGZD	2013-12-18	2018-08-24	-4.195%	46.640	52.680
AHC	2008-02-11	2018-08-24	-68.750%	0.590	9.990
AHH	2013-05-08	2018-08-24	36.874%	10.000	9.990
AHL	2003-12-05	2018-08-24	56.607%	13.530	57.800
AHPA	2017-01-05	2018-08-24	3.590%	10.000	9.991
AHPI	1992-01-14	2018-08-24	-85.855%	1.000	9.980
AHT	2003-08-26	2018-08-24	13.084%	0.545	9.991
AI	1997-12-23	2018-08-24	-97.527%	1.200	99.800
AIA	2007-11-20	2018-08-24	30.264%	19.740	72.960
AIC	2015-03-23	2018-08-24	-2.465%	16.704	25.500
AIF	2013-02-26	2018-08-24	-22.350%	11.560	20.210
AIG	1980-03-17	2018-08-24	120.652%	100.082	999.000
AIHS	2018-03-19	2018-08-24	-12.142%	3.750	8.910
AIMC	2006-12-15	2018-08-24	185.864%	10.000	9.960
AIMT	2015-08-06	2018-08-24	15.145%	10.050	42.000
AIN	1987-09-30	2018-08-24	409.363%	10.000	9.992
AINV	2004-04-06	2018-08-24	-62.600%	1.990	9.990
AIPT	2015-01-08	2018-08-24	-99.142%	0.810	98.750
AIR	1980-03-17	2018-08-24	1082.600%	1.704	9.980
AIRG	2016-08-22	2018-08-24	10.097%	10.000	9.990
AIRR	2014-03-11	2018-08-24	42.458%	13.770	28.404
AIRT	2015-10-01	2018-08-24	105.903%	16.490	35.740
AIT	1980-03-17	2018-08-24	3410.591%	1.888	9.996
AIV	1994-07-22	2018-08-24	136.378%	10.000	9.930
AIW	2013-05-06	2018-08-24	-1.103%	16.440	25.450
AIY	2013-06-26	2018-08-24	2.022%	20.720	27.410
AIZ	2004-02-05	2018-08-24	323.603%	100.000	99.990
AIZP	2018-03-08	2018-08-24	12.604%	100.000	117.810
AJG	1984-06-20	2018-08-24	3813.220%	1.719	9.984
AJRD	1981-02-02	2018-08-24	1036.495%	1.800	9.990
AJX	2015-02-13	2018-08-24	-3.143%	10.040	15.400
AJXA	2000-01-05	2018-08-24	199.647%	0.001	91.000
AKAM	1999-10-29	2018-08-24	-49.445%	0.560	99.750
AKAO	2014-03-12	2018-08-24	-63.217%	10.000	9.960
AKBA	2014-03-20	2018-08-24	-69.058%	10.000	9.990
AKCA	2017-07-14	2018-08-24	244.198%	11.000	9.535
AKER	2014-01-23	2018-08-24	-95.445%	0.122	5.700
AKP	2002-01-29	2018-08-24	-8.133%	10.000	9.900
AKR	1993-05-27	2018-08-24	46.293%	10.000	9.900
AKRX	2002-08-02	2018-08-24	1975.714%	0.250	9.900
AKS	1994-03-30	2018-08-24	-63.489%	1.640	9.990
AKTS	2015-06-04	2018-08-24	54.309%	1.510	9.990
AKTX	2014-01-10	2018-08-24	-98.091%	1.701	98.600
AL	2011-04-19	2018-08-24	64.723%	17.240	50.700
ALB	1994-02-22	2018-08-24	1224.138%	10.000	99.970
ALBO	2007-05-11	2018-08-24	-98.522%	10.200	99.900
ALCO	1973-05-03	2018-08-24	785.517%	1.500	9.875
ALDR	2014-05-08	2018-08-24	76.471%	10.000	9.950
ALDX	2014-05-02	2018-08-24	5.556%	10.000	9.990
ALE	1973-05-03	2018-08-24	387.920%	10.031	99.990
ALEX	2012-06-14	2018-08-24	-10.560%	20.830	46.960
ALG	1993-03-19	2018-08-24	703.102%	10.000	99.190
